Datetime,Day-ahead Price [GBP/MWh],Net Load,Last Closing Gas Price [GBpence/therm]
2021-11-30 01:00:00+00:00,176.415,14572,236.04
2021-11-30 02:00:00+00:00,170.095,14265,236.04
2021-11-30 03:00:00+00:00,169.935,13475.5,236.04
2021-11-30 04:00:00+00:00,177.355,12849.5,236.04
2021-11-30 05:00:00+00:00,192.88,12611,236.04
2021-11-30 06:00:00+00:00,198.325,14130,236.04
2021-11-30 07:00:00+00:00,214.8,19118,236.04
2021-11-30 08:00:00+00:00,243.42,25125.1088,236.04
2021-11-30 09:00:00+00:00,244.5,26985.85271,236.04
2021-11-30 10:00:00+00:00,229.57,27519.58309,236.04
2021-11-30 11:00:00+00:00,220.185,27334.55814,236.04
2021-11-30 12:00:00+00:00,213.575,27269.18073,236.04
2021-11-30 13:00:00+00:00,204.04,27402.06107,236.04
2021-11-30 14:00:00+00:00,204.53,27041.34426,236.04
2021-11-30 15:00:00+00:00,235.89,27353.67282,236.04
2021-11-30 16:00:00+00:00,266.75,29464.02143,236.04
2021-11-30 17:00:00+00:00,254.995,31833,236.04
2021-11-30 18:00:00+00:00,229.09,32104,236.04
2021-11-30 19:00:00+00:00,211.835,30538.5,236.04
2021-11-30 20:00:00+00:00,207.985,28476.5,236.04
2021-11-30 21:00:00+00:00,192.03,25199.5,236.04
2021-11-30 22:00:00+00:00,180.88,20992.5,236.04
2021-11-30 23:00:00+00:00,179.77,16533,236.04
2021-12-01 00:00:00+00:00,168.695,12873.5,236.04
2021-12-01 01:00:00+00:00,154.8,11556.5,238.31
2021-12-01 02:00:00+00:00,139.77,10877.5,238.31
2021-12-01 03:00:00+00:00,142.605,9744.5,238.31
2021-12-01 04:00:00+00:00,162.895,8849,238.31
2021-12-01 05:00:00+00:00,191.505,8530.5,238.31
2021-12-01 06:00:00+00:00,204.73,10702,238.31
2021-12-01 07:00:00+00:00,213.255,16005.5,238.31
2021-12-01 08:00:00+00:00,229.035,21817.32452,238.31
2021-12-01 09:00:00+00:00,216.86,23725.08658,238.31
2021-12-01 10:00:00+00:00,197.47,24079.94679,238.31
2021-12-01 11:00:00+00:00,204.735,23587.51062,238.31
2021-12-01 12:00:00+00:00,212.985,23805.71457,238.31
2021-12-01 13:00:00+00:00,212.535,24046.11042,238.31
2021-12-01 14:00:00+00:00,210.385,24687.45519,238.31
2021-12-01 15:00:00+00:00,231.925,25413.86305,238.31
2021-12-01 16:00:00+00:00,264.565,26560.2188,238.31
2021-12-01 17:00:00+00:00,261.975,29612.5,238.31
2021-12-01 18:00:00+00:00,240.385,30291.5,238.31
2021-12-01 19:00:00+00:00,220.87,29552.5,238.31
2021-12-01 20:00:00+00:00,210.9,28257.5,238.31
2021-12-01 21:00:00+00:00,201.065,25625.5,238.31
2021-12-01 22:00:00+00:00,187.845,22209.5,238.31
2021-12-01 23:00:00+00:00,180.085,18180,238.31
2021-12-02 00:00:00+00:00,177.59,14894.5,238.31
2021-12-02 01:00:00+00:00,174.29,13948,244.53
2021-12-02 02:00:00+00:00,165.18,13590.5,244.53
2021-12-02 03:00:00+00:00,161.26,12797,244.53
2021-12-02 04:00:00+00:00,161.3,12212,244.53
2021-12-02 05:00:00+00:00,181.655,12134,244.53
2021-12-02 06:00:00+00:00,203.445,14390.5,244.53
2021-12-02 07:00:00+00:00,208.565,20482,244.53
2021-12-02 08:00:00+00:00,213.755,26838.92747,244.53
2021-12-02 09:00:00+00:00,212.14,28644.43209,244.53
2021-12-02 10:00:00+00:00,211.09,29172.36915,244.53
2021-12-02 11:00:00+00:00,218.115,28837.78026,244.53
2021-12-02 12:00:00+00:00,237.82,29190.66834,244.53
2021-12-02 13:00:00+00:00,256.49,29959.16664,244.53
2021-12-02 14:00:00+00:00,266.795,31424.22099,244.53
2021-12-02 15:00:00+00:00,315.04,33149.10121,244.53
2021-12-02 16:00:00+00:00,422.09,35561.62876,244.53
2021-12-02 17:00:00+00:00,438.65,39443,244.53
2021-12-02 18:00:00+00:00,364.385,40008.5,244.53
2021-12-02 19:00:00+00:00,302.79,39297,244.53
2021-12-02 20:00:00+00:00,234.74,38238,244.53
2021-12-02 21:00:00+00:00,196.73,35087,244.53
2021-12-02 22:00:00+00:00,191.975,30676.5,244.53
2021-12-02 23:00:00+00:00,186.14,26015,244.53
2021-12-03 00:00:00+00:00,177.95,21345.5,244.53
2021-12-03 01:00:00+00:00,166,19675.5,242.09
2021-12-03 02:00:00+00:00,140.9,18187.5,242.09
2021-12-03 03:00:00+00:00,122.935,16687.5,242.09
2021-12-03 04:00:00+00:00,133.86,15722,242.09
2021-12-03 05:00:00+00:00,165.145,15296.5,242.09
2021-12-03 06:00:00+00:00,188.645,17028,242.09
2021-12-03 07:00:00+00:00,203.115,22842.5,242.09
2021-12-03 08:00:00+00:00,215.375,29181.24379,242.09
2021-12-03 09:00:00+00:00,216.95,31067.72802,242.09
2021-12-03 10:00:00+00:00,243.875,32081.4821,242.09
2021-12-03 11:00:00+00:00,270.82,32440.50248,242.09
2021-12-03 12:00:00+00:00,269.165,32877.15005,242.09
2021-12-03 13:00:00+00:00,275.43,33406.04271,242.09
2021-12-03 14:00:00+00:00,287.32,33846.67282,242.09
2021-12-03 15:00:00+00:00,409.545,34352.037,242.09
2021-12-03 16:00:00+00:00,596.545,35338.48424,242.09
2021-12-03 17:00:00+00:00,577.3,37506,242.09
2021-12-03 18:00:00+00:00,412.9,38312,242.09
2021-12-03 19:00:00+00:00,291.08,37165.5,242.09
2021-12-03 20:00:00+00:00,227.7,35143,242.09
2021-12-03 21:00:00+00:00,205.74,32426,242.09
2021-12-03 22:00:00+00:00,204.87,28909,242.09
2021-12-03 23:00:00+00:00,213.85,25029,242.09
2021-12-04 00:00:00+00:00,203.165,22834,242.09
2021-12-04 01:00:00+00:00,177.285,23619.5,228.9
2021-12-04 02:00:00+00:00,162.56,22205.5,228.9
2021-12-04 03:00:00+00:00,158.63,20408,228.9
2021-12-04 04:00:00+00:00,163.905,18797,228.9
2021-12-04 05:00:00+00:00,173.025,17685.5,228.9
2021-12-04 06:00:00+00:00,183.695,17305.5,228.9
2021-12-04 07:00:00+00:00,197.365,18684.5,228.9
2021-12-04 08:00:00+00:00,208.47,20722.33997,228.9
2021-12-04 09:00:00+00:00,206.725,23108.70961,228.9
2021-12-04 10:00:00+00:00,198.115,24158.50963,228.9
2021-12-04 11:00:00+00:00,190.86,23429.19959,228.9
2021-12-04 12:00:00+00:00,185.645,22802.22767,228.9
2021-12-04 13:00:00+00:00,186.04,23068.7859,228.9
2021-12-04 14:00:00+00:00,188.66,23501.88766,228.9
2021-12-04 15:00:00+00:00,213.525,24045.35614,228.9
2021-12-04 16:00:00+00:00,244.15,25638.53661,228.9
2021-12-04 17:00:00+00:00,242.245,28358,228.9
2021-12-04 18:00:00+00:00,222.215,29137.5,228.9
2021-12-04 19:00:00+00:00,208.36,28158,228.9
2021-12-04 20:00:00+00:00,201.67,26283,228.9
2021-12-04 21:00:00+00:00,191.01,23883,228.9
2021-12-04 22:00:00+00:00,183.8,21271,228.9
2021-12-04 23:00:00+00:00,182.62,18453,228.9
2021-12-05 00:00:00+00:00,179.17,15538,228.9
2021-12-05 01:00:00+00:00,169.6,13958.5,228.9
2021-12-05 02:00:00+00:00,153.825,13210,228.9
2021-12-05 03:00:00+00:00,143.085,12235.5,228.9
2021-12-05 04:00:00+00:00,147.74,11529,228.9
2021-12-05 05:00:00+00:00,160.47,11082,228.9
2021-12-05 06:00:00+00:00,161.605,11376,228.9
2021-12-05 07:00:00+00:00,171.415,13322.5,228.9
2021-12-05 08:00:00+00:00,187.405,15738.36022,228.9
2021-12-05 09:00:00+00:00,188.955,19266.32883,228.9
2021-12-05 10:00:00+00:00,192.48,22988.82324,228.9
2021-12-05 11:00:00+00:00,193.46,25424.36383,228.9
2021-12-05 12:00:00+00:00,199.08,26661.23404,228.9
2021-12-05 13:00:00+00:00,209.825,28017.35823,228.9
2021-12-05 14:00:00+00:00,205.68,28970.00497,228.9
2021-12-05 15:00:00+00:00,233.135,30250.07494,228.9
2021-12-05 16:00:00+00:00,286.49,32275.41654,228.9
2021-12-05 17:00:00+00:00,288.475,36243,228.9
2021-12-05 18:00:00+00:00,260.13,37898.5,228.9
2021-12-05 19:00:00+00:00,232.25,37631.5,228.9
2021-12-05 20:00:00+00:00,208.645,36007,228.9
2021-12-05 21:00:00+00:00,201.065,34370.5,228.9
2021-12-05 22:00:00+00:00,206.985,31682.5,228.9
2021-12-05 23:00:00+00:00,210.04,28136,228.9
2021-12-06 00:00:00+00:00,200.245,24061.5,228.9
2021-12-06 01:00:00+00:00,180.815,21876,228.9
2021-12-06 02:00:00+00:00,159.01,20189.5,228.9
2021-12-06 03:00:00+00:00,153.785,18560,228.9
2021-12-06 04:00:00+00:00,166.14,17179,228.9
2021-12-06 05:00:00+00:00,197.12,16083.5,228.9
2021-12-06 06:00:00+00:00,211.605,17119,228.9
2021-12-06 07:00:00+00:00,226.38,22144.5,228.9
2021-12-06 08:00:00+00:00,248.48,27554.74921,228.9
2021-12-06 09:00:00+00:00,242.605,29434.31539,228.9
2021-12-06 10:00:00+00:00,228.26,30028.86038,228.9
2021-12-06 11:00:00+00:00,214.105,29711.18638,228.9
2021-12-06 12:00:00+00:00,210.805,29099.99018,228.9
2021-12-06 13:00:00+00:00,209.835,28398.27653,228.9
2021-12-06 14:00:00+00:00,212.21,28170.70994,228.9
2021-12-06 15:00:00+00:00,232.285,28826.91097,228.9
2021-12-06 16:00:00+00:00,257.555,29471.27657,228.9
2021-12-06 17:00:00+00:00,248.5,31319.5,228.9
2021-12-06 18:00:00+00:00,218.145,31624.5,228.9
2021-12-06 19:00:00+00:00,202.89,30286,228.9
2021-12-06 20:00:00+00:00,189.72,28747,228.9
2021-12-06 21:00:00+00:00,175.97,26359.5,228.9
2021-12-06 22:00:00+00:00,159.655,23007.5,228.9
2021-12-06 23:00:00+00:00,158.39,19074,228.9
2021-12-07 00:00:00+00:00,170.57,16096.5,228.9
2021-12-07 01:00:00+00:00,170.935,17985,230.08
2021-12-07 02:00:00+00:00,171.52,18500,230.08
2021-12-07 03:00:00+00:00,179.01,19225.5,230.08
2021-12-07 04:00:00+00:00,191.055,20135.5,230.08
2021-12-07 05:00:00+00:00,217.975,21306.5,230.08
2021-12-07 06:00:00+00:00,252.735,23843.5,230.08
2021-12-07 07:00:00+00:00,268.99,28926,230.08
2021-12-07 08:00:00+00:00,267.865,34172.24576,230.08
2021-12-07 09:00:00+00:00,242.28,35267.38296,230.08
2021-12-07 10:00:00+00:00,205.145,34415.60447,230.08
2021-12-07 11:00:00+00:00,187.14,32292.25697,230.08
2021-12-07 12:00:00+00:00,185.67,30596.55203,230.08
2021-12-07 13:00:00+00:00,183.965,29465.34465,230.08
2021-12-07 14:00:00+00:00,181.55,28679.39042,230.08
2021-12-07 15:00:00+00:00,206.61,28185.68704,230.08
2021-12-07 16:00:00+00:00,225.815,28633.74628,230.08
2021-12-07 17:00:00+00:00,211.08,30357.5,230.08
2021-12-07 18:00:00+00:00,201.12,29973,230.08
2021-12-07 19:00:00+00:00,196.43,28535,230.08
2021-12-07 20:00:00+00:00,187.455,26439,230.08
2021-12-07 21:00:00+00:00,156.31,23796,230.08
2021-12-07 22:00:00+00:00,153.405,20097,230.08
2021-12-07 23:00:00+00:00,176.305,16267.5,230.08
2021-12-08 00:00:00+00:00,173.755,12747.5,230.08
2021-12-08 01:00:00+00:00,160.985,12786,243.98
2021-12-08 02:00:00+00:00,147.435,12361.5,243.98
2021-12-08 03:00:00+00:00,156.43,11784.5,243.98
2021-12-08 04:00:00+00:00,182.405,11428,243.98
2021-12-08 05:00:00+00:00,203.24,11606,243.98
2021-12-08 06:00:00+00:00,206.125,14158.5,243.98
2021-12-08 07:00:00+00:00,213.19,20065.5,243.98
2021-12-08 08:00:00+00:00,221.445,26433.43388,243.98
2021-12-08 09:00:00+00:00,212.54,28401.51208,243.98
2021-12-08 10:00:00+00:00,206.23,29183.48538,243.98
2021-12-08 11:00:00+00:00,207.915,29042.45222,243.98
2021-12-08 12:00:00+00:00,210.66,29299.6471,243.98
2021-12-08 13:00:00+00:00,213.77,29741.96957,243.98
2021-12-08 14:00:00+00:00,215.465,30529.25643,243.98
2021-12-08 15:00:00+00:00,230.875,31023.51212,243.98
2021-12-08 16:00:00+00:00,253.735,32112.03162,243.98
2021-12-08 17:00:00+00:00,249.085,34980.5,243.98
2021-12-08 18:00:00+00:00,227.92,35369.5,243.98
2021-12-08 19:00:00+00:00,213.145,34579.5,243.98
2021-12-08 20:00:00+00:00,204.995,33283.5,243.98
2021-12-08 21:00:00+00:00,190.55,30721,243.98
2021-12-08 22:00:00+00:00,180.23,27816,243.98
2021-12-08 23:00:00+00:00,181.265,24373.5,243.98
2021-12-09 00:00:00+00:00,181.175,20027.5,243.98
2021-12-09 01:00:00+00:00,179.82,17987,260.33
2021-12-09 02:00:00+00:00,169.735,17754,260.33
2021-12-09 03:00:00+00:00,170.44,17061,260.33
2021-12-09 04:00:00+00:00,184.695,16728,260.33
2021-12-09 05:00:00+00:00,209.41,16739.5,260.33
2021-12-09 06:00:00+00:00,229.89,19101.5,260.33
