Datetime,Date,Dummy,Hour,Day-ahead Price [GBP/MWh],Demand Forecast [MWh],Wind Forecast [MW],Solar Forecast [MW],Last Closing Gas Price [GBpence/therm]
2021-11-30 01:00:00+00:00,30/11/2021,2,1,176.415,26285.0,11713.0,0.0,236.04
2021-11-30 02:00:00+00:00,30/11/2021,2,2,170.095,25725.5,11460.5,0.0,236.04
2021-11-30 03:00:00+00:00,30/11/2021,2,3,169.935,24695.0,11219.5,0.0,236.04
2021-11-30 04:00:00+00:00,30/11/2021,2,4,177.355,23886.0,11036.5,0.0,236.04
2021-11-30 05:00:00+00:00,30/11/2021,2,5,192.88,23510.0,10899.0,0.0,236.04
2021-11-30 06:00:00+00:00,30/11/2021,2,6,198.325,24889.0,10759.0,0.0,236.04
2021-11-30 07:00:00+00:00,30/11/2021,2,7,214.8,29838.0,10720.0,0.0,236.04
2021-11-30 08:00:00+00:00,30/11/2021,2,8,243.42,35843.0,10710.0,7.891204226,236.04
2021-11-30 09:00:00+00:00,30/11/2021,2,9,244.5,37769.0,10662.0,121.1472881,236.04
2021-11-30 10:00:00+00:00,30/11/2021,2,10,229.57,38334.0,10588.5,225.916909,236.04
2021-11-30 11:00:00+00:00,30/11/2021,2,11,220.185,38298.0,10617.5,345.941859,236.04
2021-11-30 12:00:00+00:00,30/11/2021,2,12,213.575,38292.0,10662.5,360.319269,236.04
2021-11-30 13:00:00+00:00,30/11/2021,2,13,204.04,38280.0,10589.0,288.9389323,236.04
2021-11-30 14:00:00+00:00,30/11/2021,2,14,204.53,37708.0,10487.5,179.155737,236.04
2021-11-30 15:00:00+00:00,30/11/2021,2,15,235.89,37707.5,10287.0,66.82717795,236.04
2021-11-30 16:00:00+00:00,30/11/2021,2,16,266.75,39514.5,10049.5,0.978565235,236.04
2021-11-30 17:00:00+00:00,30/11/2021,2,17,254.995,41991.5,10158.5,0.0,236.04
2021-11-30 18:00:00+00:00,30/11/2021,2,18,229.09,42444.5,10340.5,0.0,236.04
2021-11-30 19:00:00+00:00,30/11/2021,2,19,211.835,41274.5,10736.0,0.0,236.04
2021-11-30 20:00:00+00:00,30/11/2021,2,20,207.985,39587.0,11110.5,0.0,236.04
2021-11-30 21:00:00+00:00,30/11/2021,2,21,192.03,36651.0,11451.5,0.0,236.04
2021-11-30 22:00:00+00:00,30/11/2021,2,22,180.88,32877.0,11884.5,0.0,236.04
2021-11-30 23:00:00+00:00,30/11/2021,2,23,179.77,28828.0,12295.0,0.0,236.04
2021-12-01 00:00:00+00:00,30/11/2021,2,24,168.695,25362.5,12489.0,0.0,236.04
2021-12-01 01:00:00+00:00,01/12/2021,3,1,154.8,24055.0,12498.5,0.0,238.31
2021-12-01 02:00:00+00:00,01/12/2021,3,2,139.77,23461.0,12583.5,0.0,238.31
2021-12-01 03:00:00+00:00,01/12/2021,3,3,142.605,22365.5,12621.0,0.0,238.31
2021-12-01 04:00:00+00:00,01/12/2021,3,4,162.895,21417.5,12568.5,0.0,238.31
2021-12-01 05:00:00+00:00,01/12/2021,3,5,191.505,21041.0,12510.5,0.0,238.31
2021-12-01 06:00:00+00:00,01/12/2021,3,6,204.73,23153.0,12451.0,0.0,238.31
2021-12-01 07:00:00+00:00,01/12/2021,3,7,213.255,28417.0,12411.5,0.0,238.31
2021-12-01 08:00:00+00:00,01/12/2021,3,8,229.035,34176.5,12340.0,19.17548248,238.31
2021-12-01 09:00:00+00:00,01/12/2021,3,9,216.86,36117.0,12225.5,166.4134183,238.31
2021-12-01 10:00:00+00:00,01/12/2021,3,10,197.47,36809.0,12213.5,515.5532147,238.31
2021-12-01 11:00:00+00:00,01/12/2021,3,11,204.735,36608.5,12248.0,772.989382,238.31
2021-12-01 12:00:00+00:00,01/12/2021,3,12,212.985,36736.5,12310.5,620.285426,238.31
2021-12-01 13:00:00+00:00,01/12/2021,3,13,212.535,36961.5,12401.0,514.389583,238.31
2021-12-01 14:00:00+00:00,01/12/2021,3,14,210.385,37484.5,12456.5,340.5448144,238.31
2021-12-01 15:00:00+00:00,01/12/2021,3,15,231.925,38017.0,12504.5,98.63695421,238.31
2021-12-01 16:00:00+00:00,01/12/2021,3,16,264.565,39104.0,12543.0,0.78120397,238.31
2021-12-01 17:00:00+00:00,01/12/2021,3,17,261.975,42073.0,12460.5,0.0,238.31
2021-12-01 18:00:00+00:00,01/12/2021,3,18,240.385,42626.5,12335.0,0.0,238.31
2021-12-01 19:00:00+00:00,01/12/2021,3,19,220.87,41691.5,12139.0,0.0,238.31
2021-12-01 20:00:00+00:00,01/12/2021,3,20,210.9,40175.0,11917.5,0.0,238.31
2021-12-01 21:00:00+00:00,01/12/2021,3,21,201.065,37330.0,11704.5,0.0,238.31
2021-12-01 22:00:00+00:00,01/12/2021,3,22,187.845,33826.0,11616.5,0.0,238.31
2021-12-01 23:00:00+00:00,01/12/2021,3,23,180.085,29712.5,11532.5,0.0,238.31
2021-12-02 00:00:00+00:00,01/12/2021,3,24,177.59,26124.5,11230.0,0.0,238.31
2021-12-02 01:00:00+00:00,02/12/2021,4,1,174.29,25005.0,11057.0,0.0,244.53
2021-12-02 02:00:00+00:00,02/12/2021,4,2,165.18,24707.0,11116.5,0.0,244.53
2021-12-02 03:00:00+00:00,02/12/2021,4,3,161.26,24005.0,11208.0,0.0,244.53
2021-12-02 04:00:00+00:00,02/12/2021,4,4,161.3,23374.0,11162.0,0.0,244.53
2021-12-02 05:00:00+00:00,02/12/2021,4,5,181.655,23157.5,11023.5,0.0,244.53
2021-12-02 06:00:00+00:00,02/12/2021,4,6,203.445,25234.5,10844.0,0.0,244.53
2021-12-02 07:00:00+00:00,02/12/2021,4,7,208.565,30965.5,10483.5,0.0,244.53
2021-12-02 08:00:00+00:00,02/12/2021,4,8,213.755,36883.0,10025.5,18.5725274,244.53
2021-12-02 09:00:00+00:00,02/12/2021,4,9,212.14,38423.5,9480.5,298.567907,244.53
2021-12-02 10:00:00+00:00,02/12/2021,4,10,211.09,38868.0,8771.0,924.630853,244.53
2021-12-02 11:00:00+00:00,02/12/2021,4,11,218.115,38229.0,7992.5,1398.719737,244.53
2021-12-02 12:00:00+00:00,02/12/2021,4,12,237.82,37795.0,7333.5,1270.831657,244.53
2021-12-02 13:00:00+00:00,02/12/2021,4,13,256.49,37930.5,6864.0,1107.333358,244.53
2021-12-02 14:00:00+00:00,02/12/2021,4,14,266.795,38672.5,6438.5,809.779009,244.53
2021-12-02 15:00:00+00:00,02/12/2021,4,15,315.04,39396.0,6027.0,219.8987886,244.53
2021-12-02 16:00:00+00:00,02/12/2021,4,16,422.09,41157.5,5594.0,1.87124483,244.53
2021-12-02 17:00:00+00:00,02/12/2021,4,17,438.65,44665.5,5222.5,0.0,244.53
2021-12-02 18:00:00+00:00,02/12/2021,4,18,364.385,44888.5,4880.0,0.0,244.53
2021-12-02 19:00:00+00:00,02/12/2021,4,19,302.79,44023.0,4726.0,0.0,244.53
2021-12-02 20:00:00+00:00,02/12/2021,4,20,234.74,42889.0,4651.0,0.0,244.53
2021-12-02 21:00:00+00:00,02/12/2021,4,21,196.73,39778.5,4691.5,0.0,244.53
2021-12-02 22:00:00+00:00,02/12/2021,4,22,191.975,35679.0,5002.5,0.0,244.53
2021-12-02 23:00:00+00:00,02/12/2021,4,23,186.14,31412.0,5397.0,0.0,244.53
2021-12-03 00:00:00+00:00,02/12/2021,4,24,177.95,27672.0,6326.5,0.0,244.53
2021-12-03 01:00:00+00:00,03/12/2021,5,1,166.0,27185.0,7509.5,0.0,242.09
2021-12-03 02:00:00+00:00,03/12/2021,5,2,140.9,26276.5,8089.0,0.0,242.09
2021-12-03 03:00:00+00:00,03/12/2021,5,3,122.935,25242.5,8555.0,0.0,242.09
2021-12-03 04:00:00+00:00,03/12/2021,5,4,133.86,24611.5,8889.5,0.0,242.09
2021-12-03 05:00:00+00:00,03/12/2021,5,5,165.145,24375.0,9078.5,0.0,242.09
2021-12-03 06:00:00+00:00,03/12/2021,5,6,188.645,26147.5,9119.5,0.0,242.09
2021-12-03 07:00:00+00:00,03/12/2021,5,7,203.115,31613.5,8771.0,0.0,242.09
2021-12-03 08:00:00+00:00,03/12/2021,5,8,215.375,37607.5,8425.5,0.756205103,242.09
2021-12-03 09:00:00+00:00,03/12/2021,5,9,216.95,39329.5,8200.5,61.2719834,242.09
2021-12-03 10:00:00+00:00,03/12/2021,5,10,243.875,40105.0,7853.0,170.5178956,242.09
2021-12-03 11:00:00+00:00,03/12/2021,5,11,270.82,40306.5,7519.5,346.4975152,242.09
2021-12-03 12:00:00+00:00,03/12/2021,5,12,269.165,40394.0,7162.5,354.349951,242.09
2021-12-03 13:00:00+00:00,03/12/2021,5,13,275.43,40355.5,6688.5,260.957289,242.09
2021-12-03 14:00:00+00:00,03/12/2021,5,14,287.32,40101.0,6110.5,143.8271755,242.09
2021-12-03 15:00:00+00:00,03/12/2021,5,15,409.545,39864.5,5477.5,34.96300323,242.09
2021-12-03 16:00:00+00:00,03/12/2021,5,16,596.545,40074.5,4736.0,0.015762334,242.09
2021-12-03 17:00:00+00:00,03/12/2021,5,17,577.3,41824.0,4318.0,0.0,242.09
2021-12-03 18:00:00+00:00,03/12/2021,5,18,412.9,42348.5,4036.5,0.0,242.09
2021-12-03 19:00:00+00:00,03/12/2021,5,19,291.08,41205.0,4039.5,0.0,242.09
2021-12-03 20:00:00+00:00,03/12/2021,5,20,227.7,39249.0,4106.0,0.0,242.09
2021-12-03 21:00:00+00:00,03/12/2021,5,21,205.74,36665.5,4239.5,0.0,242.09
2021-12-03 22:00:00+00:00,03/12/2021,5,22,204.87,33589.0,4680.0,0.0,242.09
2021-12-03 23:00:00+00:00,03/12/2021,5,23,213.85,30181.0,5152.0,0.0,242.09
2021-12-04 00:00:00+00:00,03/12/2021,5,24,203.165,27289.0,4455.0,0.0,242.09
2021-12-04 01:00:00+00:00,04/12/2021,6,1,177.285,27450.0,3830.5,0.0,228.9
2021-12-04 02:00:00+00:00,04/12/2021,6,2,162.56,26516.5,4311.0,0.0,228.9
2021-12-04 03:00:00+00:00,04/12/2021,6,3,158.63,25064.0,4656.0,0.0,228.9
2021-12-04 04:00:00+00:00,04/12/2021,6,4,163.905,23799.0,5002.0,0.0,228.9
2021-12-04 05:00:00+00:00,04/12/2021,6,5,173.025,23162.5,5477.0,0.0,228.9
2021-12-04 06:00:00+00:00,04/12/2021,6,6,183.695,23429.0,6123.5,0.0,228.9
2021-12-04 07:00:00+00:00,04/12/2021,6,7,197.365,25574.5,6890.0,0.0,228.9
2021-12-04 08:00:00+00:00,04/12/2021,6,8,208.47,28359.0,7635.5,1.16003117,228.9
2021-12-04 09:00:00+00:00,04/12/2021,6,9,206.725,31371.0,8115.0,147.2903946,228.9
2021-12-04 10:00:00+00:00,04/12/2021,6,10,198.115,33435.0,8455.0,821.490371,228.9
2021-12-04 11:00:00+00:00,04/12/2021,6,11,190.86,33800.0,8874.0,1496.800412,228.9
2021-12-04 12:00:00+00:00,04/12/2021,6,12,185.645,33633.0,9219.0,1611.772334,228.9
2021-12-04 13:00:00+00:00,04/12/2021,6,13,186.04,33541.0,9491.5,980.714098,228.9
2021-12-04 14:00:00+00:00,04/12/2021,6,14,188.66,33812.5,9747.5,563.1123378,228.9
2021-12-04 15:00:00+00:00,04/12/2021,6,15,213.525,34140.5,9917.0,178.1438612,228.9
2021-12-04 16:00:00+00:00,04/12/2021,6,16,244.15,35607.0,9962.5,5.96339324,228.9
2021-12-04 17:00:00+00:00,04/12/2021,6,17,242.245,38403.5,10045.5,0.0,228.9
2021-12-04 18:00:00+00:00,04/12/2021,6,18,222.215,39263.0,10125.5,0.0,228.9
2021-12-04 19:00:00+00:00,04/12/2021,6,19,208.36,38320.0,10162.0,0.0,228.9
2021-12-04 20:00:00+00:00,04/12/2021,6,20,201.67,36463.0,10180.0,0.0,228.9
2021-12-04 21:00:00+00:00,04/12/2021,6,21,191.01,34069.0,10186.0,0.0,228.9
2021-12-04 22:00:00+00:00,04/12/2021,6,22,183.8,31450.0,10179.0,0.0,228.9
2021-12-04 23:00:00+00:00,04/12/2021,6,23,182.62,28615.0,10162.0,0.0,228.9
2021-12-05 00:00:00+00:00,04/12/2021,6,24,179.17,25992.0,10454.0,0.0,228.9
2021-12-05 01:00:00+00:00,05/12/2021,7,1,169.6,24735.0,10776.5,0.0,228.9
2021-12-05 02:00:00+00:00,05/12/2021,7,2,153.825,23950.5,10740.5,0.0,228.9
2021-12-05 03:00:00+00:00,05/12/2021,7,3,143.085,22908.0,10672.5,0.0,228.9
2021-12-05 04:00:00+00:00,05/12/2021,7,4,147.74,22067.5,10538.5,0.0,228.9
2021-12-05 05:00:00+00:00,05/12/2021,7,5,160.47,21520.5,10438.5,0.0,228.9
2021-12-05 06:00:00+00:00,05/12/2021,7,6,161.605,21638.5,10262.5,0.0,228.9
2021-12-05 07:00:00+00:00,05/12/2021,7,7,171.415,23313.5,9991.0,0.0,228.9
2021-12-05 08:00:00+00:00,05/12/2021,7,8,187.405,25435.0,9685.5,11.13977762,228.9
2021-12-05 09:00:00+00:00,05/12/2021,7,9,188.955,28591.5,9184.5,140.6711691,228.9
2021-12-05 10:00:00+00:00,05/12/2021,7,10,192.48,31906.5,8631.5,286.176761,228.9
2021-12-05 11:00:00+00:00,05/12/2021,7,11,193.46,33775.0,8012.0,338.6361719,228.9
2021-12-05 12:00:00+00:00,05/12/2021,7,12,199.08,34506.5,7458.0,387.2659605,228.9
2021-12-05 13:00:00+00:00,05/12/2021,7,13,209.825,35391.0,6928.5,445.1417719,228.9
