Feature,H1 - Coefficient - 1,H2 - Coefficient - 1,H3 - Coefficient - 1,H4 - Coefficient - 1,H5 - Coefficient - 1,H6 - Coefficient - 1,H7 - Coefficient - 1,H8 - Coefficient - 1,H9 - Coefficient - 1,H10 - Coefficient - 1,H11 - Coefficient - 1,H12 - Coefficient - 1,H13 - Coefficient - 1,H14 - Coefficient - 1,H15 - Coefficient - 1,H16 - Coefficient - 1,H17 - Coefficient - 1,H18 - Coefficient - 1,H19 - Coefficient - 1,H20 - Coefficient - 1,H21 - Coefficient - 1,H22 - Coefficient - 1,H23 - Coefficient - 1,H24 - Coefficient - 1
Last Closing Gas Price [GBpence/therm]_standardized,0.00027907169169990367,0.018459622656334586,0.05636818442488088,0.08821156008738112,0.04452672419417843,0.01966827449026587,-0.0017149074044093273,-0.03713996513975019,-0.04615072664100864,-0.05339583909970207,-0.033451613069928735,-0.005707329559950078,-0.0004857358807580213,-0.02002008243621535,-0.003708408360799299,-0.06282677356273506,-0.021874582291413393,0.10747441518980004,0.1978597487704751,0.21247052396829177,0.20668960290640356,0.23870811227168767,0.26929914252495446,0.2569231704996049
Day-ahead Price [GBP/MWh]_standardized d-1 h=1,-0.0,-0.011842672952789067,-0.06313701742547999,-0.0,0.0,0.0,-0.0,-0.0,-0.07070442420519948,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=2,0.0,-0.0,-0.0,-0.30917736503856763,-0.0,-0.0,-0.08708173060703228,-0.11707182100248048,-0.04620213660743833,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.37497267449339067,0.3767991585468062,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=3,0.0,-0.0,-0.07627618596594786,-0.1938978362864432,-0.6655331650621844,-0.35030954903368816,-0.12531913645073672,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.14942779889973812,0.20679035334363768,0.0798790310545822,0.0,0.0,0.0,-0.020111878416892364,-0.032294956678469114,-0.11073342289830589
Day-ahead Price [GBP/MWh]_standardized d-1 h=4,0.0,0.0,0.0,0.31378380233715036,0.5895425351003282,0.19513317017086199,0.0,0.0,0.04726579689002702,0.07519662133281543,0.06462851252375398,0.054144597473316326,0.058150769196439085,0.02045623555646095,0.014940667322357317,0.0,-0.0,0.0,-0.07251946469821023,-0.1520733252036875,-0.06226574938934776,-0.1177044047867204,-0.09422000820612433,-0.052150151126897096
Day-ahead Price [GBP/MWh]_standardized d-1 h=5,0.0,0.0,0.1915035817025018,0.14833012905686274,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.049407791529936636,0.0952615882234024,0.19848760447235514,0.1062020237362205,0.0,-0.0,0.027266939841841486,0.0038773065884132943,0.12158304307962144,0.07629699904470895,0.06480760300046269,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=6,-0.00687117324323104,-0.024371638889286756,-0.20848591023598492,-0.20264707565578288,-0.1933489337631834,-0.1455656353952044,-0.13446613278129274,-0.21170621655435576,-0.2658567929137457,-0.20994438019338924,-0.12035991176462196,-0.19154814821736757,-0.3950916398481675,-0.5823819678260617,-0.443259723659139,-0.2993947800246987,-0.18245635108374147,-0.0828147871795665,0.0,7.855597233300033e-05,0.11924056416582203,0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=7,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.05510312849926612,-0.1628996546305326,-0.16757601325079227,-0.04132130718314821,-0.08683056539501184,-0.2974101159601191,-0.8920976460424068,-1.0278802360619226,-0.7153020621508415,-0.71413056158338,-0.7600770693391149,-0.5176189831291518,-0.2296417288104753,-0.19876006270524943,-0.35553981423688963
Day-ahead Price [GBP/MWh]_standardized d-1 h=8,-0.0,0.006092915442991351,0.03096997746777663,0.04708325601943714,0.012269768830464697,0.106569126059371,0.037599947330937925,0.0,0.0,0.0,0.0,0.0,0.0,0.10943110570389923,0.5138938819650847,1.2355648887204977,1.3840166312996631,1.0097565569810654,0.9485104417103452,0.756677634993868,0.2134613417320654,0.10685854497227996,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=9,-0.0,0.03442587255547167,0.1785564438389094,0.059347026385494876,0.0,0.0,0.1855897091849106,0.45932366387890117,0.6130463570195365,0.6191866585973844,0.6444856330552987,0.65535181844184,0.5355721815546666,0.4135107634291494,0.0,0.0,-0.0,-0.0,0.0,0.2534653194890362,0.6571209308210109,0.2435482842716403,0.13546395279614304,0.2330679623272551
Day-ahead Price [GBP/MWh]_standardized d-1 h=10,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01533966345816141,0.24031038090396026,0.0,-0.0,-0.0,-0.0,-0.0,-0.4746406613615104,-0.13644211943506335,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=11,-0.0035336866236389238,-0.02983423510571981,-0.1412367625472206,-0.03711556578238075,-0.0,0.0,-0.0,-0.14067936583431465,-0.4407443312953565,-0.5300024522396183,-0.46066382649815035,-0.35464798685701965,-0.24502729645608623,-0.0,-0.0,-0.6877488868468091,-0.8962108585142228,-0.49802043443320354,-0.35908132850433555,-0.45842149548144034,-0.0,-0.14343944115185372,-0.013270117195152897,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=12,-0.0,-0.024917345555212148,-0.0861588534603524,-0.3197909412465586,-0.467392574111251,-0.39560550472649664,-0.34872068887776647,-0.4191347539748554,-0.13859178469633146,-0.011216023282198612,-0.0,-0.09571487125123031,-0.3246303574852145,-0.5998615207479752,-0.8651415201651202,-0.13033423392800106,-0.0,-0.17510632413594698,-0.19090046566920155,-0.0,0.02266456735227071,0.22267257218536055,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=13,0.0,0.0,0.0,0.12820977808622702,0.0,0.0,0.08804668338945283,0.16488940652966338,0.17091727229840475,0.08907437139657697,0.0,0.06744097194506195,0.3059838523502786,0.20097950239032594,0.43210201378444957,0.09903562180661342,0.04351490697144232,0.0,0.0,0.0,0.0,0.1176579484949693,0.38116625219785205,0.3049936061532252
