Feature,H1 - Coefficient - 1,H2 - Coefficient - 1,H3 - Coefficient - 1,H4 - Coefficient - 1,H5 - Coefficient - 1,H6 - Coefficient - 1,H7 - Coefficient - 1,H8 - Coefficient - 1,H9 - Coefficient - 1,H10 - Coefficient - 1,H11 - Coefficient - 1,H12 - Coefficient - 1,H13 - Coefficient - 1,H14 - Coefficient - 1,H15 - Coefficient - 1,H16 - Coefficient - 1,H17 - Coefficient - 1,H18 - Coefficient - 1,H19 - Coefficient - 1,H20 - Coefficient - 1,H21 - Coefficient - 1,H22 - Coefficient - 1,H23 - Coefficient - 1,H24 - Coefficient - 1,H1 - Coefficient - 2,H2 - Coefficient - 2,H3 - Coefficient - 2,H4 - Coefficient - 2,H5 - Coefficient - 2,H6 - Coefficient - 2,H7 - Coefficient - 2,H8 - Coefficient - 2,H9 - Coefficient - 2,H10 - Coefficient - 2,H11 - Coefficient - 2,H12 - Coefficient - 2,H13 - Coefficient - 2,H14 - Coefficient - 2,H15 - Coefficient - 2,H16 - Coefficient - 2,H17 - Coefficient - 2,H18 - Coefficient - 2,H19 - Coefficient - 2,H20 - Coefficient - 2,H21 - Coefficient - 2,H22 - Coefficient - 2,H23 - Coefficient - 2,H24 - Coefficient - 2,H1 - Coefficient - 3,H2 - Coefficient - 3,H3 - Coefficient - 3,H4 - Coefficient - 3,H5 - Coefficient - 3,H6 - Coefficient - 3,H7 - Coefficient - 3,H8 - Coefficient - 3,H9 - Coefficient - 3,H10 - Coefficient - 3,H11 - Coefficient - 3,H12 - Coefficient - 3,H13 - Coefficient - 3,H14 - Coefficient - 3,H15 - Coefficient - 3,H16 - Coefficient - 3,H17 - Coefficient - 3,H18 - Coefficient - 3,H19 - Coefficient - 3,H20 - Coefficient - 3,H21 - Coefficient - 3,H22 - Coefficient - 3,H23 - Coefficient - 3,H24 - Coefficient - 3,H1 - Coefficient - 4,H2 - Coefficient - 4,H3 - Coefficient - 4,H4 - Coefficient - 4,H5 - Coefficient - 4,H6 - Coefficient - 4,H7 - Coefficient - 4,H8 - Coefficient - 4,H9 - Coefficient - 4,H10 - Coefficient - 4,H11 - Coefficient - 4,H12 - Coefficient - 4,H13 - Coefficient - 4,H14 - Coefficient - 4,H15 - Coefficient - 4,H16 - Coefficient - 4,H17 - Coefficient - 4,H18 - Coefficient - 4,H19 - Coefficient - 4,H20 - Coefficient - 4,H21 - Coefficient - 4,H22 - Coefficient - 4,H23 - Coefficient - 4,H24 - Coefficient - 4,H1 - Coefficient - 5,H2 - Coefficient - 5,H3 - Coefficient - 5,H4 - Coefficient - 5,H5 - Coefficient - 5,H6 - Coefficient - 5,H7 - Coefficient - 5,H8 - Coefficient - 5,H9 - Coefficient - 5,H10 - Coefficient - 5,H11 - Coefficient - 5,H12 - Coefficient - 5,H13 - Coefficient - 5,H14 - Coefficient - 5,H15 - Coefficient - 5,H16 - Coefficient - 5,H17 - Coefficient - 5,H18 - Coefficient - 5,H19 - Coefficient - 5,H20 - Coefficient - 5,H21 - Coefficient - 5,H22 - Coefficient - 5,H23 - Coefficient - 5,H24 - Coefficient - 5
Last Closing Gas Price [GBpence/therm]_standardized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21081488835037238,0.14277269433574635,0.0,0.0,0.0,0.0,0.0,0.0,0.0029443838180813493,0.0,0.2284050888388643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21743349345336696,0.08625185269561261,0.0,0.0,0.0,0.0,0.0,0.18502560896251477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02538091676253342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03705725643977444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.040644622614386436,0.0,0.0,0.07312587433808047,0.0,0.0,0.0,0.01255292292642052,0.0,0.0,0.0,0.09947865325954962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=1,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.02040473829404371,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=2,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=3,0.00634855558738342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4658548995568106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056769980847207815,0.0,0.0,0.0,0.03640555130531298,0.8227951675014997,0.36607145343823105,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2864072214161335,1.1932030133171512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.390808364526517,1.1552886538490232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=4,0.04386681968317282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28680745421971704,0.4253812867300064,0.42980299519194887,0.16974997417235577,0.0,0.0,0.40999891476351946,1.25533266811305,1.130731705246509,0.7663233130946692,0.37686749496381267,0.0,0.13901800883681376,-0.0,0.0,0.0,0.03949023935443149,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.2404529471103338,0.46331882813508585,0.2846733253985029,0.017504668087792,0.0,0.0,0.49358161964725455,0.7843900247839888,1.1758994986140627,0.5544149223985383,0.08259055504783942,0.0,0.0,0.0,0.0,0.0,0.03636209823813312,0.0,0.0,-0.0,0.0,0.0,0.0,0.154079783143107,0.5603306338664104,0.48640012088441753,0.03518144476096488,0.14475234142755072,0.0,0.0,0.3847275523794318,0.0,0.0003459632114341034,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.05565969597968254,0.04435735445452789,0.009435665992669534,0.010250518895866381,0.01581153060728053,0.0,0.0,0.230822349675543,0.47642561307415654,0.4301748147827731,0.15303964371770631,0.10362388895527237,0.0,0.04993271550869129,0.8438047002841518,0.044049024905199484,0.008774245306982998,0.0,0.061536966413325296,0.06114495941457855,0.07298351287006542,0.25184505115314126,0.0,0.015445543886638049,0.013413413283863085,0.0031254187135700885,0.0,0.0,0.0,0.0,-0.0,0.0,0.11155036615090769,0.10680679519093339,0.010013276547616703,0.059793800949249236,0.0,0.0,0.7198982564959289,0.0,0.0099549685743737,0.20777841292713553,0.28474447987860607,0.0,0.0,0.33284195739893263,0.25198642436160235,0.3084012512133007
Day-ahead Price [GBP/MWh]_standardized d-1 h=5,0.0,-0.0,0.0,0.0,0.0,0.07920076010015228,0.16452452345729124,0.3882232656213687,0.2814073800322467,0.2362782595197676,0.36934398113208655,0.6253940062413872,0.7904520798116009,0.897844328405153,0.5681260195117429,0.0,0.033828876544779896,0.0,0.07636448631073198,0.3228859333330612,0.08689056554386514,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.1068960964835456,0.10583114204913192,0.31885664232563277,0.31671657625262206,0.21802951056231304,0.3407361666278068,0.6303403493516041,0.4668056977809799,0.5333472007877853,0.53181477317729,0.0,0.01471435905927148,0.0,0.29613580996425376,0.42300335941338646,0.3315137021511109,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.03059424078039919,0.08972645829301239,0.2183456667586651,0.11480842068215742,0.1570202829492396,0.24700544076935294,0.3026375366724897,0.47279183334401764,0.5217266395724516,0.21114179506214317,0.0,0.0,0.4180899709116134,0.2625862780086597,0.3895658634217555,0.3107305467235276,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=6,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000940979175731002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06304397074557126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.02125746523011743,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=7,-0.00711548277896644,-0.07149390800242979,-0.0,-0.0,-0.0,0.0866613603520835,0.214422075888234,0.0,0.0,0.0,0.0,0.0,0.06178444608306416,0.0002238829443624053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022948611151560615,0.040511266952355,0.0,-0.013937761574050089,-0.06561564037423716,-0.0,-0.0,-0.0,0.08543719445760765,0.183108315938558,0.0,0.0,0.0,0.0,0.0,0.027142553445630657,0.007036552788563559,0.0,0.0,0.0,0.0,0.0,0.08494296244273883,0.0,0.15278509690666248,0.2843839748653288,0.15096057034735627,-0.014349928663297509,-0.060167381335842034,-0.0,-0.0,-0.0,0.0,0.22371229446266327,0.0,0.0,0.0,0.0,0.0,0.02295451652712826,0.0,0.0,0.0,0.0,0.0,0.045822796000246524,0.08850883959874978,0.0,0.18890190830324816,0.2879589352066295,0.22159130237920718,-0.0,-0.0,-0.0,0.0,-0.0,0.0010769631792169332,0.24109165367703772,0.09060379659213015,0.0,0.0,0.0,0.0,0.0,5.594407377357675e-05,0.0,0.0,0.0,0.0,0.0,0.08332260594404411,0.0,0.17856443376465234,0.2535342266205357,0.16215703556410785,-0.0,-0.0,0.010832290264964003,0.028853126026953706,-0.0,0.0,0.29402488536768673,0.07969642569109565,0.0,0.0,0.0012074922737734192,0.0,0.053961848671543876,0.17121530211789165,0.003679847689588005,0.0,0.0,0.0,0.06717706609683126,0.010255267662391964,0.0,0.13192688710866682,0.2829751183057134,0.21564674196059574
Day-ahead Price [GBP/MWh]_standardized d-1 h=8,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.011055408850036013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0488772772327544,0.0,0.0,0.0,0.0,0.15400233664265897,0.03352170779027236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.20404656186669823,0.1702419624061401,0.24218737401061938,0.11645042800622284,0.09446108121098655,0.0,0.07069926254768172,0.2700780790202748,0.10551336767223062,0.0,0.0,0.0,0.0,0.0,0.0,0.006418669852349217,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1130935653619657,0.0,0.19452871943368322,0.06419919972757969,0.04218529421901493,0.03738147524034116,0.19482830826042888,0.32889368472708447,0.3209453413206828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026242308481484112,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.07199958453555598,0.0,0.08108214145228163,0.06374573838652198,0.00469463852602704,0.0,0.10783823894325383,0.19933630220320958,0.14904216578347698,0.06671816683107387,0.0,0.0,0.0,0.0,0.07250197548309284,0.0,0.10930385290440205,0.0,0.08180745520307674
Day-ahead Price [GBP/MWh]_standardized d-1 h=9,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.023701463444275147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
