Ytrue,Yp
275.035,244.50047
270.84,247.30357
273.27,269.00717
280.95,321.6173
323.9,400.5446
399.56,449.62958
456.4,441.10016
474.39,415.22556
447.53,380.22943
418.53,355.43716
413.66,352.17438
414.665,358.67047
423.07,371.61276
430.89,401.9425
460.915,463.6124
504.87,497.29187
493.8,504.2106
448.035,466.43744
396.75,405.95297
355.49,345.87448
323.64,305.2384
288.88,293.76907
272.965,273.7787
267.29,263.70157
259.895,249.29524
253.08,251.58116
251.44,254.7163
257.195,297.8525
271.18,382.47055
287.365,422.95294
309.33,409.43094
338.875,396.26663
350.61,384.3897
340.61,384.4917
332.37,369.6216
331.76,369.99628
339.335,383.03012
358.24,414.46564
386.24,458.57928
413.3,477.33102
410.925,485.0794
375.815,451.82
332.25,421.35223
305.29,377.56027
288.865,337.00415
282.81,309.1919
285.27,289.05112
278.725,276.11963
268.505,273.48993
259.865,268.31866
258.145,279.41025
260.48,297.1473
268.83,367.0259
265.63,405.21448
269.44,422.74915
301.36,398.09824
329.045,378.52542
338.54,378.1116
346.63,376.8263
356.605,384.79025
359.29,401.5194
364.265,448.69388
409.805,496.20026
474.68,532.9818
462.84,546.07697
397.32,545.1503
344.055,510.4244
311.03,441.53238
292.685,384.1145
277.51,362.27612
269.365,344.57114
267.395,324.92703
264.31,244.85988
260.135,252.38913
260.61,258.2069
271.585,317.48517
348.835,442.51514
578.51,482.13443
792.645,444.6235
780.6,432.9637
656.645,400.01062
593.565,404.52133
598.01,400.14456
609.855,394.83432
611.36,417.4994
618.14,457.70703
1048.165,495.66135
1665.005,524.3632
1447.115,526.40924
830.81,499.20535
537.85,437.3066
412.16,371.8154
337.59,333.0493
286.145,301.7092
270.99,294.4087
263.635,274.7709
255.98,256.888
251.55,262.26944
252.14,275.8601
268.435,365.2593
336.08,477.8372
418.705,563.1917
446.56,541.6847
445.915,491.74237
449.475,460.84488
444.295,442.71262
436.965,431.78656
444.24,447.52707
455.88,472.34872
467.585,523.8682
511.135,560.5462
549.26,597.3483
505.38,588.6808
449.49,526.4972
404.385,451.47626
341.305,359.80948
291.65,311.49536
265.885,310.19626
256.79,288.98773
249.77,276.76944
245.49,228.29926
243.335,233.30511
244.72,244.18678
259.285,337.3098
313.015,426.2885
386.585,478.5845
436.01,468.11874
447.97,420.25735
435.355,392.0843
416.605,378.85492
407.43,369.84064
414.275,358.22537
423.05,377.09467
433.935,435.5198
470.015,478.4441
486.565,522.09247
456.03,499.1668
414.83,445.96527
366.035,395.90524
314.325,310.58362
271.71,276.72598
254.49,275.24454
248.87,248.77524
241.59,237.61044
236.495,243.16464
234.465,258.15543
238.585,271.77966
252.295,333.85233
299.465,436.96255
382.71,489.60403
429.035,477.79056
422.63,446.0385
410.255,433.99026
395.705,416.332
385.355,416.2166
391.095,420.83533
406.86,436.29767
421.885,481.93576
449.445,528.5369
469.21,554.5665
459.05,571.9561
430.22,516.5058
382.64,480.79636
337.335,401.47256
302.97,344.22925
270.19,336.1702
251.635,308.10843
247.35,303.5617
243.67,233.27878
241.96,237.49126
248.495,256.47812
277.045,313.40015
347.64,421.4341
426.13,479.38483
463.16,467.56818
464.55,427.33728
451.52,409.42938
431.795,389.94742
415.375,387.803
411.86,382.83545
420.56,389.99356
434.355,440.50732
455.905,479.90048
465.475,510.16974
445.705,523.68146
411.23,483.8536
362.105,410.68317
314.26,350.57
282.9,307.15045
265.65,291.85123
250.535,273.6842
236.67,258.56143
224.77,218.42575
216.215,217.16048
214.59,225.71829
216.51,270.71292
228.255,320.1689
238.835,363.89252
252.305,371.96057
271.495,331.13937
277.045,321.0396
260.47,300.30017
241.72,296.7237
238.925,301.71872
243.745,325.85046
258.1,348.25708
287.965,386.52505
318.785,429.32492
326.115,436.67117
296.255,392.00488
259.005,348.86066
244.565,287.8172
239.26,270.42596
261.505,256.1876
284.54,238.20378
266.905,230.10641
242.525,201.15222
218.71,194.67932
