Ytrue,Yp
275.035,230.78635
270.84,228.73137
273.27,238.31964
280.95,287.95123
323.9,337.07233
399.56,368.9251
456.4,383.71857
474.39,402.74713
447.53,391.60648
418.53,380.60687
413.66,382.59152
414.665,382.8411
423.07,360.70724
430.89,408.71973
460.915,492.0322
504.87,526.15234
493.8,515.35645
448.035,444.1843
396.75,381.62158
355.49,325.3176
323.64,271.95013
288.88,258.70685
272.965,232.48093
267.29,218.57257
259.895,203.8896
253.08,197.18024
251.44,201.7523
257.195,212.12602
271.18,256.80734
287.365,261.52875
309.33,257.65137
338.875,308.61722
350.61,313.5821
340.61,303.5483
332.37,320.8662
331.76,321.6494
339.335,323.48328
358.24,348.1708
386.24,377.38657
413.3,453.5463
410.925,431.54916
375.815,377.62842
332.25,312.66873
305.29,293.27567
288.865,241.63084
282.81,209.8238
285.27,183.16646
278.725,156.2204
268.505,200.61255
259.865,177.80698
258.145,175.20346
260.48,185.65842
268.83,211.27151
265.63,262.74252
269.44,249.64064
301.36,319.75577
329.045,334.48865
338.54,330.84973
346.63,354.92395
356.605,372.27307
359.29,356.6433
364.265,360.20093
409.805,399.683
474.68,472.57574
462.84,437.74503
397.32,367.73474
344.055,341.9837
311.03,299.783
292.685,246.7146
277.51,214.27983
269.365,183.01778
267.395,184.56541
264.31,169.85799
260.135,166.1604
260.61,164.64592
271.585,191.70512
348.835,207.40392
578.51,243.09662
792.645,285.56924
780.6,295.50397
656.645,312.6945
593.565,298.5555
598.01,309.68738
609.855,321.13687
611.36,306.7534
618.14,311.5238
1048.165,363.8626
1665.005,399.67758
1447.115,369.5455
830.81,322.34512
537.85,275.8131
412.16,236.88017
337.59,192.40355
286.145,171.09935
270.99,165.05661
263.635,149.34483
255.98,187.78238
251.55,171.03343
252.14,159.38873
268.435,161.12767
336.08,193.24052
418.705,244.16626
446.56,283.24744
445.915,340.73605
449.475,360.91895
444.295,345.65234
436.965,378.95526
444.24,428.32452
455.88,411.06058
467.585,396.37872
511.135,421.16043
549.26,483.40454
505.38,441.62195
449.49,377.57712
404.385,336.94757
341.305,331.41193
291.65,242.58136
265.885,199.76883
256.79,177.19447
249.77,192.9196
245.49,231.84323
243.335,225.14188
244.72,224.60179
259.285,215.48164
313.015,229.48961
386.585,245.61128
436.01,266.2504
447.97,322.753
435.355,357.78485
416.605,347.40396
407.43,358.97632
414.275,389.69684
423.05,381.926
433.935,367.94244
470.015,422.8995
486.565,451.71146
456.03,400.38092
414.83,373.2473
366.035,333.43683
314.325,292.8995
271.71,249.22766
254.49,229.84181
248.87,236.4295
241.59,231.32585
236.495,281.59705
234.465,294.30194
238.585,288.87534
252.295,262.1757
299.465,276.75952
382.71,262.05746
429.035,312.0571
422.63,371.32266
410.255,374.37766
395.705,361.30014
385.355,379.02023
391.095,389.521
406.86,340.06967
421.885,362.4275
449.445,386.39728
469.21,437.00363
459.05,386.67673
430.22,358.6538
382.64,337.6637
337.335,298.02145
302.97,284.65677
270.19,278.02145
251.635,287.17593
247.35,275.258
243.67,272.85513
241.96,275.37625
248.495,263.01144
277.045,255.4043
347.64,260.24567
426.13,277.77008
463.16,302.14078
464.55,352.01227
451.52,364.59116
431.795,362.21176
415.375,380.01175
411.86,403.399
420.56,380.4816
434.355,351.2474
455.905,387.70847
465.475,453.3001
445.705,394.7321
411.23,370.82373
362.105,369.06476
314.26,328.95004
282.9,297.306
265.65,271.18777
250.535,270.56113
236.67,253.46524
224.77,239.8304
216.215,231.11848
214.59,230.36066
216.51,224.04381
228.255,222.04785
238.835,223.50581
252.305,249.35617
271.495,291.39072
277.045,302.48923
260.47,302.96124
241.72,310.93393
238.925,332.8729
243.745,318.5562
258.1,313.71185
287.965,340.83032
318.785,394.8438
326.115,352.9088
296.255,315.59155
259.005,296.40503
244.565,264.41504
239.26,257.51135
261.505,241.04234
284.54,233.50053
266.905,238.11932
242.525,229.41292
218.71,226.89633
196.735,221.06989
188.115,219.82115
192.87,225.38556
199.065,260.04883
204.385,301.53796
211.965,328.79694
