Ytrue,Yp
275.035,275.4189
270.84,278.03836
273.27,282.78995
280.95,325.33698
323.9,402.47534
399.56,440.81738
456.4,420.422
474.39,395.79135
447.53,362.63248
418.53,345.04684
413.66,330.5919
414.665,302.30038
423.07,317.98492
430.89,349.7575
460.915,416.74295
504.87,440.02725
493.8,441.95047
448.035,412.3288
396.75,356.9893
355.49,319.3623
323.64,287.63852
288.88,301.6143
272.965,273.0164
267.29,259.8386
259.895,291.19458
253.08,297.48853
251.44,303.19928
257.195,340.91412
271.18,392.71063
287.365,416.08252
309.33,423.5459
338.875,391.25552
350.61,371.7928
340.61,346.64804
332.37,334.51346
331.76,319.63507
339.335,318.42203
358.24,356.6799
386.24,413.42963
413.3,463.02478
410.925,476.91025
375.815,436.9729
332.25,393.8046
305.29,341.43338
288.865,320.02078
282.81,318.4887
285.27,304.3205
278.725,292.0735
268.505,243.48596
259.865,250.1163
258.145,262.69843
260.48,310.84747
268.83,364.64383
265.63,389.0984
269.44,407.6438
301.36,373.04416
329.045,352.24344
338.54,337.96204
346.63,328.7834
356.605,314.5536
359.29,302.33466
364.265,336.80402
409.805,400.6121
474.68,462.01562
462.84,462.53522
397.32,427.77112
344.055,381.74402
311.03,342.3683
292.685,308.7107
277.51,295.22723
269.365,288.0505
267.395,281.39938
264.31,279.91092
260.135,292.98685
260.61,302.97025
271.585,345.87137
348.835,429.24625
578.51,451.32745
792.645,446.253
780.6,419.36374
656.645,384.17896
593.565,365.0128
598.01,352.1194
609.855,326.54834
611.36,316.74594
618.14,343.14212
1048.165,417.33502
1665.005,470.06534
1447.115,468.02563
830.81,422.18463
537.85,384.6899
412.16,328.17792
337.59,308.14627
286.145,312.87204
270.99,304.49927
263.635,280.51932
255.98,319.78568
251.55,310.78903
252.14,327.42917
268.435,377.36984
336.08,450.53998
418.705,479.47278
446.56,483.4284
445.915,463.2646
449.475,432.88055
444.295,408.52496
436.965,402.42206
444.24,386.1613
455.88,362.52124
467.585,398.54373
511.135,470.6437
549.26,522.0745
505.38,526.5327
449.49,500.33798
404.385,442.85815
341.305,380.53204
291.65,356.91467
265.885,360.20724
256.79,349.00424
249.77,323.30716
245.49,261.1677
243.335,265.04953
244.72,270.36737
259.285,305.79416
313.015,366.88208
386.585,403.49353
436.01,394.75638
447.97,367.64746
435.355,333.02856
416.605,316.68274
407.43,305.82828
414.275,286.0185
423.05,276.17297
433.935,299.54514
470.015,378.2993
486.565,420.79266
456.03,428.24008
414.83,393.50433
366.035,335.33777
314.325,297.65637
271.71,286.38297
254.49,292.18967
248.87,270.79672
241.59,261.6672
236.495,253.16357
234.465,260.78564
238.585,283.25098
252.295,334.4108
299.465,376.6825
382.71,404.47977
429.035,426.76016
422.63,380.949
410.255,359.1691
395.705,326.79865
385.355,342.9093
391.095,311.45236
406.86,310.49216
421.885,345.46606
449.445,407.4413
469.21,459.51907
459.05,489.0038
430.22,455.2981
382.64,375.02673
337.335,327.38742
302.97,310.66547
270.19,319.86087
251.635,294.67896
247.35,286.38217
243.67,242.9694
241.96,251.99179
248.495,268.39023
277.045,294.76672
347.64,360.0078
426.13,393.10977
463.16,413.35397
464.55,375.7253
451.52,318.04257
431.795,305.01923
415.375,294.35742
411.86,277.98965
420.56,264.21466
434.355,304.97958
455.905,368.9247
465.475,418.78214
445.705,431.31522
411.23,374.2595
362.105,320.62018
314.26,282.05402
282.9,270.37485
265.65,265.7658
250.535,248.62907
236.67,240.88483
224.77,198.63162
216.215,190.99269
214.59,206.62721
216.51,230.97386
228.255,265.5558
238.835,300.39468
252.305,311.36682
271.495,287.60437
277.045,264.31818
260.47,244.1929
241.72,241.14989
238.925,221.8181
243.745,215.62674
258.1,234.8437
287.965,290.38818
318.785,332.1179
326.115,347.03497
296.255,307.88025
259.005,255.643
244.565,222.44655
239.26,218.52847
261.505,217.40627
284.54,199.82167
266.905,199.30032
242.525,187.75093
218.71,186.23245
196.735,188.50485
188.115,207.92479
192.87,237.97926
199.065,256.9489
204.385,275.20865
211.965,254.04018
218.435,230.75598
222.825,218.6565
224.5,212.36331
222.17,193.88211
214.91,188.81984
214.065,210.52164
228.83,266.1189
246.14,298.03732
243.08,312.543
229.53,276.46805
204.31,217.31427
184.175,206.72783
163.95,192.8379
121.81,192.67947
92.86,174.03316
80.54,174.17473
64.51,123.15234
50.975,120.50703
51.69,128.27281
78.865,166.53424
142.1,204.74657
191.39,238.82542
206.185,234.86871
212.33,215.9118
211.895,187.14105
211.175,169.97263
210.41,164.5849
209.0,155.35448
207.86,149.12523
207.58,167.9923
216.05,216.39333
223.29,255.43552
216.46,266.4198
206.75,244.82887
182.035,205.82425
154.86,179.79623
123.415,159.66959
102.95,153.88815
101.015,139.82677
88.21,139.58606
77.235,100.61065
69.685,102.27818
75.18,110.73174
107.64,159.70049
160.11,203.58777
202.465,223.14569
223.555,224.23462
231.19,201.31674
229.72,171.18344
221.155,160.43408
213.335,154.06966
221.17,146.0343
229.42,144.48137
230.205,167.47449
238.62,203.93352
253.665,240.89172
251.37,253.86873
233.94,222.74286
220.755,188.84464
209.205,160.40472
191.895,146.66422
164.94,147.45602
145.545,127.31952
134.09,130.0306
126.19,115.77615
124.72,113.445885
131.14,116.4391
149.915,138.50008
172.06,159.65198
193.81,171.63333
207.555,185.19244
207.755,178.14897
201.465,166.9646
194.21,158.82211
186.52,154.74246
186.51,149.48637
188.405,146.51892
189.5,167.6202
206.115,195.1977
218.405,230.43123
213.56,240.40817
204.415,211.57895
188.9,174.21939
178.245,155.89674
167.605,142.6483
153.255,143.98045
158.05,134.46555
170.155,135.48376
160.24,140.63892
145.035,140.58582
145.495,146.10481
165.75,165.80133
191.68,194.62395
194.875,214.58342
199.45,220.49681
206.75,217.5407
206.355,196.52527
208.615,190.09879
219.33,189.3122
230.84,182.00294
235.335,175.73436
233.95,196.36046
257.67,240.85277
292.05,276.99442
286.855,280.551
256.86,235.54356
214.98,211.5542
207.03,175.7792
203.885,169.48714
178.075,164.96562
172.16,157.79887
169.09,155.85263
156.82,175.73842
144.0,167.98277
140.905,165.03427
154.775,174.30087
173.425,207.52693
184.03,231.27782
193.755,228.28305
203.14,214.14915
207.69,202.35573
201.795,184.06677
187.365,169.17957
178.485,158.57057
172.66,160.78833
163.855,178.77281
169.705,217.09154
180.755,253.13663
177.065,245.0373
172.405,219.14941
169.075,189.78282
162.105,160.47702
146.96,154.43375
103.38,152.20795
67.76,143.38748
61.5,140.15811
48.445,75.73317
37.425,72.57775
37.215,74.04836
41.805,86.35221
62.295,105.55935
91.165,120.17935
125.21,125.22649
152.065,119.10846
154.305,108.02691
149.08,101.0607
148.575,99.12577
149.32,99.300575
149.43,103.245766
149.995,110.510475
158.96,135.42053
169.14,157.56436
160.855,159.26376
143.77,138.17764
127.53,122.21312
111.52,109.181335
82.8,102.41034
75.13,92.61559
81.06,86.554665
69.935,87.89611
59.155,81.33212
50.115,79.33697
47.605,81.30196
46.71,91.23907
52.92,114.42797
63.23,121.97602
78.785,126.278725
103.835,124.01817
130.0,120.095894
147.965,114.84656
161.455,111.08237
178.97,112.28039
181.98,117.17071
176.265,127.51708
167.49,148.9438
153.395,177.32977
143.745,176.21852
136.04,152.51186
122.685,136.29785
109.15,123.606804
90.37,110.93674
71.7,112.08626
68.935,95.377525
62.955,100.65792
41.345,52.392666
22.69,52.668095
15.225,57.13756
8.325,69.929535
14.295,89.3792
36.375,100.65446
57.84,108.00182
58.165,99.467155
59.65,88.58533
74.34,82.28598
81.53,81.85302
90.505,83.8294
98.28,85.45276
109.825,92.21157
