Datetime,Day-ahead Price [GBP/MWh],Forecasted Price [GBP/MWh]
2022-12-06 01:00:00+00:00,248.825,217.62
2022-12-06 02:00:00+00:00,247.715,215.56
2022-12-06 03:00:00+00:00,250.0,215.715
2022-12-06 04:00:00+00:00,258.9,225.475
2022-12-06 05:00:00+00:00,292.11,255.925
2022-12-06 06:00:00+00:00,326.435,280.835
2022-12-06 07:00:00+00:00,356.93,303.63
2022-12-06 08:00:00+00:00,382.12,330.74
2022-12-06 09:00:00+00:00,373.57,345.12
2022-12-06 10:00:00+00:00,353.86,347.95
2022-12-06 11:00:00+00:00,346.505,349.105
2022-12-06 12:00:00+00:00,349.72,350.62
2022-12-06 13:00:00+00:00,349.185,350.585
2022-12-06 14:00:00+00:00,354.38,353.355
2022-12-06 15:00:00+00:00,379.36,369.58
2022-12-06 16:00:00+00:00,386.985,384.73
2022-12-06 17:00:00+00:00,370.965,372.905
2022-12-06 18:00:00+00:00,344.785,347.59
2022-12-06 19:00:00+00:00,309.88,314.36
2022-12-06 20:00:00+00:00,281.045,275.825
2022-12-06 21:00:00+00:00,256.735,246.68
2022-12-06 22:00:00+00:00,248.1,246.115
2022-12-06 23:00:00+00:00,249.945,254.065
2022-12-07 00:00:00+00:00,245.78,250.895
2022-12-07 01:00:00+00:00,235.385,248.825
2022-12-07 02:00:00+00:00,226.685,247.715
2022-12-07 03:00:00+00:00,226.75,250.0
2022-12-07 04:00:00+00:00,239.065,258.9
2022-12-07 05:00:00+00:00,255.785,292.11
2022-12-07 06:00:00+00:00,269.145,326.435
2022-12-07 07:00:00+00:00,307.445,356.93
2022-12-07 08:00:00+00:00,349.5,382.12
2022-12-07 09:00:00+00:00,355.11,373.57
2022-12-07 10:00:00+00:00,346.99,353.86
2022-12-07 11:00:00+00:00,345.735,346.505
2022-12-07 12:00:00+00:00,348.245,349.72
2022-12-07 13:00:00+00:00,348.9,349.185
2022-12-07 14:00:00+00:00,351.595,354.38
2022-12-07 15:00:00+00:00,388.695,379.36
2022-12-07 16:00:00+00:00,426.0,386.985
2022-12-07 17:00:00+00:00,412.165,370.965
2022-12-07 18:00:00+00:00,373.95,344.785
2022-12-07 19:00:00+00:00,328.31,309.88
2022-12-07 20:00:00+00:00,286.61,281.045
2022-12-07 21:00:00+00:00,258.86,256.735
2022-12-07 22:00:00+00:00,252.55,248.1
2022-12-07 23:00:00+00:00,254.72,249.945
2022-12-08 00:00:00+00:00,249.695,245.78
2022-12-08 01:00:00+00:00,243.78,235.385
2022-12-08 02:00:00+00:00,242.115,226.685
2022-12-08 03:00:00+00:00,246.935,226.75
2022-12-08 04:00:00+00:00,257.235,239.065
2022-12-08 05:00:00+00:00,300.32,255.785
2022-12-08 06:00:00+00:00,361.05,269.145
2022-12-08 07:00:00+00:00,400.38,307.445
2022-12-08 08:00:00+00:00,415.11,349.5
2022-12-08 09:00:00+00:00,409.565,355.11
2022-12-08 10:00:00+00:00,394.59,346.99
2022-12-08 11:00:00+00:00,386.93,345.735
2022-12-08 12:00:00+00:00,393.43,348.245
2022-12-08 13:00:00+00:00,404.325,348.9
2022-12-08 14:00:00+00:00,421.96,351.595
2022-12-08 15:00:00+00:00,486.3,388.695
2022-12-08 16:00:00+00:00,531.645,426.0
2022-12-08 17:00:00+00:00,510.97,412.165
2022-12-08 18:00:00+00:00,459.69,373.95
2022-12-08 19:00:00+00:00,390.055,328.31
2022-12-08 20:00:00+00:00,340.415,286.61
2022-12-08 21:00:00+00:00,302.97,258.86
2022-12-08 22:00:00+00:00,287.555,252.55
2022-12-08 23:00:00+00:00,285.025,254.72
2022-12-09 00:00:00+00:00,278.26,249.695
2022-12-09 01:00:00+00:00,275.035,243.78
2022-12-09 02:00:00+00:00,270.84,242.115
2022-12-09 03:00:00+00:00,273.27,246.935
2022-12-09 04:00:00+00:00,280.95,257.235
2022-12-09 05:00:00+00:00,323.9,300.32
2022-12-09 06:00:00+00:00,399.56,361.05
2022-12-09 07:00:00+00:00,456.4,400.38
2022-12-09 08:00:00+00:00,474.39,415.11
2022-12-09 09:00:00+00:00,447.53,409.565
2022-12-09 10:00:00+00:00,418.53,394.59
2022-12-09 11:00:00+00:00,413.66,386.93
2022-12-09 12:00:00+00:00,414.665,393.43
2022-12-09 13:00:00+00:00,423.07,404.325
2022-12-09 14:00:00+00:00,430.89,421.96
2022-12-09 15:00:00+00:00,460.915,486.3
2022-12-09 16:00:00+00:00,504.87,531.645
2022-12-09 17:00:00+00:00,493.8,510.97
2022-12-09 18:00:00+00:00,448.035,459.69
2022-12-09 19:00:00+00:00,396.75,390.055
2022-12-09 20:00:00+00:00,355.49,340.415
2022-12-09 21:00:00+00:00,323.64,302.97
2022-12-09 22:00:00+00:00,288.88,287.555
2022-12-09 23:00:00+00:00,272.965,285.025
2022-12-10 00:00:00+00:00,267.29,278.26
2022-12-10 01:00:00+00:00,259.895,233.915
2022-12-10 02:00:00+00:00,253.08,222.315
2022-12-10 03:00:00+00:00,251.44,218.245
2022-12-10 04:00:00+00:00,257.195,221.295
2022-12-10 05:00:00+00:00,271.18,230.855
2022-12-10 06:00:00+00:00,287.365,232.49
2022-12-10 07:00:00+00:00,309.33,237.985
2022-12-10 08:00:00+00:00,338.875,255.98
2022-12-10 09:00:00+00:00,350.61,270.78
2022-12-10 10:00:00+00:00,340.61,278.245
2022-12-10 11:00:00+00:00,332.37,286.46
2022-12-10 12:00:00+00:00,331.76,284.02
2022-12-10 13:00:00+00:00,339.335,275.095
2022-12-10 14:00:00+00:00,358.24,281.17
2022-12-10 15:00:00+00:00,386.24,302.34
2022-12-10 16:00:00+00:00,413.3,321.975
